Cod. Promo��o    ;Ds. Promo��o       ;Ds. Referencia     ;Cod. Produto       ;Dt. Inicio        ;Dt. Final      ;Vl. Anterior   ;Vl. Promo��o
174               ;BLACK 2020           ;M3013014           ;23116              ;10/11/2020        ;31/12/2021     ;159,9          ;79,95
174               ;BLACK 2020           ;M3021009           ;22923              ;10/11/2020        ;31/12/2021     ;399            ;199,5
174               ;BLACK 2020           ;M3021M3021014      ;22965              ;10/11/2020        ;31/12/2021     ;599,9          ;299,95
180               ;SALE 2021 CORRETA    ;M2218026           ;18305              ;26/12/2020        ;31/03/2021     ;149            ;74,5
168;50% COLECAO ESTOQUE;M2825001;26206;07/05/2020;31/12/2021;159,9;79,95
168;50% COLECAO ESTOQUE;M2712019;25754;07/05/2020;31/12/2021;119,9;59,95
168;50% COLECAO ESTOQUE;M2712019;25759;07/05/2020;31/12/2021;119,9;59,95
168;50% COLECAO ESTOQUE;M2712019;25760;07/05/2020;31/12/2021;119,9;59,95
174;BLACK 2020;M3021003;22788;10/11/2020;31/12/2021;499,9;249,95
174;BLACK 2020;M3011007;22893;10/11/2020;31/12/2021;169,9;84,95
174;BLACK 2020;M3012002;22916;10/11/2020;31/12/2021;499,9;249,95
180;SALE 2021 CORRETA;M2718014;23972;26/12/2020;31/03/2021;139;69,5
180;SALE 2021 CORRETA;M3120015;33893;26/12/2020;31/03/2021;159;79,5
180;SALE 2021 CORRETA;M3120015;33898;26/12/2020;31/03/2021;159;79,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3210023;40935;06/04/2020;31/12/2021;99;49,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3210023;40938;06/04/2020;31/12/2021;99;49,5
193;PROMOCAO MOLETOM 30;M3121054;36728;10/03/2021;30/06/2021;199;99,5
168;50% COLECAO ESTOQUE;M3122042;37888;07/05/2020;31/12/2021;429;214,5
168;50% COLECAO ESTOQUE;M3122042;37891;07/05/2020;31/12/2021;429;214,5
180;SALE 2021 CORRETA;M3213006;37590;26/12/2020;31/03/2021;279;139,5
180;SALE 2021 CORRETA;M3210006;37608;26/12/2020;31/03/2021;149;74,5
180;SALE 2021 CORRETA;M3111006;31735;26/12/2020;31/03/2021;139,9;69,95
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3118060;33468;06/04/2020;31/12/2021;149;74,5
168;50% COLECAO ESTOQUE;M3222003;38084;07/05/2020;31/12/2021;379;189,5
168;50% COLECAO ESTOQUE;M3222004;39133;07/05/2020;31/12/2021;399;199,5
174;BLACK 2020;M3011007;29347;10/11/2020;31/12/2021;169,9;84,95
169;50% - JEANS + POESIA CONCRETA;M2929006;31296;19/05/2020;31/12/2021;139,9;69,95
169;50% - JEANS + POESIA CONCRETA;M2929006;31297;19/05/2020;31/12/2021;139,9;69,95
169;50% - JEANS + POESIA CONCRETA;M2929006;31307;19/05/2020;31/12/2021;139,9;69,95
168;50% COLECAO ESTOQUE;M3221043;39875;07/05/2020;31/12/2021;159;79,5
